pair_id,compound_A,compound_B,scaffold,exact_structural_modification,molecular_region,CB1_assay,CB1_result,CB2_assay,CB2_result,EC50_IC50_Emax_which,same_assay_lab,experimental_evidence,structural_evidence_crystal_cryo,related_mutagenesis,mechanism_proposed_by_authors,mechanism_inferred_later,primary_reference_DOI,phenotype_A_labels,phenotype_B_labels,class_A_B_C_D,verification_status,notes
T1,MRI2687,MRI2594,thiazole (A-836339-related),arm-1 bulk difference (6-methylbenzothiazole vs 4,5-dimethylthiazole),other,"not primary switch endpoint","not claimed as CB1/CB2 dual switch","forskolin AC / CB2 functional assays (Cell 2019)","PARAM: MRI2687=CB2 ant/inv; MRI2594=CB2 ago","which: functional EC50/Emax in paper figures — directions verified; exact pair numbers use primary PDF tables",yes,yes,yes,yes,"Arm-1 length differentially engages toggle Trp2586.48","Mechanism structural+docking+MD elements; pharmacology EXPERIMENTAL",10.1016/j.cell.2018.12.011,"CB2 ant/inv","CB2 ago",A,verified,"Strongest mono-CB2 switch; crystal 5ZTY AM10257 informs; NOT Yin-Yang CB1-ant/CB2-ago"
T2,HU-308_or_ago-3,(R)-1,HU-308 cannabilactone series,add C(2') phenyl on gem-dimethylheptyl side chain,other,"hCB1 saturation/selectivity binding","CB2-selective; weak CB1 relative","cAMP HTRF; Gi-CASE BRET; beta-arrestin; live-cell ERK/Ca","PARAM: ago-3=CB2 ago (cAMP pEC50=8.47 Emax=112%); (R)-1=CB2 ant/inv (cAMP pEC50=6.95 Emax=-44%; Kd=39.1 nM)","which: pEC50 AND Emax (cAMP) AND Kd AND Gi BRET pEC50 labeled",yes,yes,yes (design from 5ZTY),related literature,phenyl engages Trp2586.48 toggle (structure-based),"MD corroboration COMPUTATIONAL; phenotype switch EXPERIMENTAL multi-assay",10.1021/acscentsci.3c01461,"CB2 ago","CB2 ant/inv",A,verified,"Multiple fluorescent probes retain inv ago — multi-pair within series"
T3,Ge-compound-6,Ge-compound-39,Ge 2023 CB2 series (LRIP),multi-position modifications (not guaranteed single-region),other,"CB1 selectivity context in paper","CB2-selective design focus","in vitro functional assays","PARAM: cpd6=CB2 ago; cpd39=CB2 ant (abstract)","which: functional classification verified in abstract; exact EC50 pair TBD from full tables",yes,yes,no,hotspots discussed,"LRIP residue interaction profiles predict ago vs ant (COMPUTATIONAL design)","Wet confirmation EXPERIMENTAL; pair may be C if not single-region",10.1021/acschemneuro.3c00580,"CB2 ago","CB2 ant/inv",B,verified_phenotype_labels_abstract,"~70% function success rate claimed for designed series; not Qiu Yin-Yang"
S1,AM10257,AM10257_self,pyrazole (from SR141716A optimization),N1 phenyl to alkyl/5-hydroxypentyl + C3 adamantyl (evolution narrative),N1,"CB1 functional (reported opposite profile)","PARAM: CB1 agonist (paper claim)","CB2 AC Schild + beta-arrestin2","PARAM: CB2 inverse agonist/antagonist; Ki=0.08 nM; beta-arrestin EC50=0.53±0.29 nM Emax fold=0.70±0.05; logKB=-8.30±0.05","which: Ki AND EC50 AND Emax AND logKB labeled",yes,yes,yes (PDB 5ZTY),yes,"Three-arm pose; Trp258 confinement","Opposite dual vs Qiu Yin-Yang — INFERRED contrast",10.1016/j.cell.2018.12.011,"CB1 ago; CB2 ant/inv","CB1 ago; CB2 ant/inv",B,verified,"Single-molecule opposite dual; not SAR pair A vs B distinct compounds"
P1,Azo23_trans,Azo23_cis,azo photoswitch (Qiu/Tao 2026),photoisomerization trans to cis,other,"functional CB panels (paper claim)","opposite-control claim (CB1 ago arm in cis narrative per secondary summaries) — exact PARAM TBD full text","functional CB panels","opposite CB2 arm — exact PARAM TBD","which: TBD pending full-text numeric audit; activity shift >50-fold claimed in secondary sources",yes,yes,no,no,"Photoswitchable opposite control over CB1 and CB2","INFERRED: not a replica of Qiu-14 SAR; chemotype distinct",10.1016/j.ejmech.2026.118883,ambiguous,ambiguous,B,partial_pending_full_text,"Do not treat as verification of Qiu-14/15/20/24"
HX1,hypothesis_Qiu14,hypothesis_Qiu15,pyrazole,hypothesis numeric table (e.g. 96% to antagonist 0.04 uM),N1-regio,unverified,NOT FOUND in Qiu OA/SI,unverified,NOT FOUND,NOT FOUND — do not copy,NA,no,no,no,NA,"REJECT: working hypothesis only",10.1016/j.bioorg.2023.106377,NA,NA,D,REJECTED_hypothesis_only,"Absolute ban: do not promote to fact without main PDF numbers"
HX2,hypothesis_Qiu14,hypothesis_Qiu24,pyrazole,hypothesis steric clash for 24,C3,unverified,NOT FOUND as experimental steric proof,unverified,NOT FOUND,NOT FOUND,NA,no,no,no,"Fig.S6 docking collisions are for 15/16 morph regio not experimental 24","REJECT steric-clash-24 as experimental fact",10.1016/j.bioorg.2023.106377,NA,NA,D,REJECTED_hypothesis_only,SI Fig.S6 is COMPUTATIONAL for 14/15/16
HX3,Qiu-14_S173_S285,NA,pyrazole,proposed H-bonds S173 CB1 and S285 CB2,other,NA,NA,NA,NA,NA,NA,no,no,no,"Docking + MD (authors)","COMPUTATIONAL only — class D mechanism",10.1016/j.bioorg.2023.106377,NA,NA,D,REJECTED_as_experimental_mechanism,Mutagenesis of Qiu-14 at S173/S285 NOT FOUND
HX4,hypothesis_numeric_20,hypothesis_numeric_14,pyrazole,hypothesis table potencies for 20 vs 14,N1,unverified,NOT FOUND OA,unverified,NOT FOUND OA,NOT FOUND,NA,no,no,no,NA,REJECT,10.1016/j.bioorg.2023.106377,NA,NA,D,REJECTED_hypothesis_only,Obtain Elsevier PDF before any numeric SAR ranking
HX5,docking_collision_15,docking_collision_16,pyrazole,meta/para morpholine pocket collisions,N1-regio,docking CB1 5TGZ,COMPUTATIONAL only — not assay phenotype,docking,COMPUTATIONAL,NA,yes (in silico),no,no,no,"Authors Fig.S6 red dashed collisions","Must not be cited as experimental evidence",10.1016/j.bioorg.2023.106377,NA,NA,D,REJECTED_as_experimental_pair,Keep as computational note only
HX6,binding_IC50_as_agonism,NA,various,fallacy: convert binding IC50 to ago/ant,other,binding,invalid conversion,binding,invalid conversion,IC50 binding ≠ EC50 function,NA,no,no,no,NA,"INFERRED fallacy banned by 0Q rules",NA,NA,NA,D,REJECTED_epistemic,Discipline rule row
HX7,Qiu_MMGBSA_as_activity,Qiu_series,pyrazole,MM-GBSA correlation Fig.S14 / Tables S1-S2,other,computational dG,COMPUTATIONAL,computational dG,COMPUTATIONAL,MM-GBSA dG Bind (not Ki/IC50/EC50),yes,no,no,no,"Approximate linear correlation activities vs MM-GBSA (authors)","Must not replace experimental potencies",10.1016/j.bioorg.2023.106377,NA,NA,D,REJECTED_as_experimental_potency,SI contains MM-GBSA numbers only for affinity proxy
